Data,Clic,Impressioni,CTR,Posizione
2026-02-07,0,6,0%,31.5
2026-02-08,0,1,0%,10
2026-02-09,0,4,0%,8
2026-02-10,0,8,0%,7.6
2026-02-11,0,2,0%,9.5
2026-02-12,0,6,0%,10.5
2026-02-13,0,8,0%,10.4
2026-02-14,0,8,0%,9.1
2026-02-15,0,4,0%,11.2
2026-02-16,0,6,0%,6.8
2026-02-17,0,11,0%,9.5
2026-02-18,0,12,0%,9.6
2026-02-19,0,7,0%,7.9
2026-02-20,0,8,0%,6.9
2026-02-21,0,5,0%,6.2
2026-02-22,0,3,0%,7
2026-02-23,0,5,0%,9
2026-02-24,0,6,0%,8
2026-02-25,0,4,0%,10
2026-02-26,0,3,0%,11
2026-02-27,0,8,0%,9.5
2026-02-28,0,3,0%,11
2026-03-01,0,4,0%,9.5
2026-03-02,0,7,0%,11.4
2026-03-03,0,5,0%,10.8
2026-03-04,0,11,0%,10.4
2026-03-05,0,6,0%,8
2026-03-06,0,6,0%,11
2026-03-07,0,2,0%,8
2026-03-08,0,3,0%,9.7
2026-03-09,0,11,0%,9.5
2026-03-10,0,7,0%,8.6
2026-03-11,0,6,0%,9.8
2026-03-12,0,3,0%,7.7
2026-03-13,0,3,0%,9.7
2026-03-14,0,2,0%,10
2026-03-15,0,3,0%,10.7
2026-03-16,0,3,0%,8
2026-03-17,0,7,0%,9
2026-03-18,0,2,0%,9
2026-03-19,0,3,0%,8
2026-03-20,0,4,0%,10
2026-03-21,0,19,0%,9.8
2026-03-22,0,7,0%,15.7
2026-03-23,0,1,0%,10
2026-03-24,0,15,0%,8.6
2026-03-25,0,3,0%,6.3
2026-03-26,0,3,0%,7.3
2026-03-27,0,3,0%,10
2026-03-28,0,2,0%,9
2026-03-29,0,4,0%,9.2
2026-03-30,0,16,0%,9.1
2026-03-31,0,3,0%,10.3
2026-04-01,0,2,0%,9
2026-04-02,0,7,0%,8.9
2026-04-03,0,6,0%,9.7
2026-04-04,0,3,0%,7.7
2026-04-05,0,5,0%,8.8
2026-04-06,0,3,0%,9
2026-04-07,0,6,0%,16.3
2026-04-08,0,3,0%,10.3
2026-04-09,0,2,0%,7.5
2026-04-10,0,2,0%,65.5
2026-04-11,1,2,50%,5.5
2026-04-12,0,1,0%,19
2026-04-13,0,5,0%,37.6
2026-04-14,0,3,0%,37.7
2026-04-15,0,5,0%,12.2
2026-04-16,0,3,0%,40.3
2026-04-17,0,8,0%,31.9
2026-04-18,0,5,0%,25
2026-04-19,0,3,0%,9.7
2026-04-20,0,2,0%,4
2026-04-21,0,5,0%,29
2026-04-22,0,28,0%,8.8
2026-04-23,0,5,0%,6.6
2026-04-24,0,3,0%,5.3
2026-04-25,0,2,0%,10
2026-04-26,0,6,0%,8.3
2026-04-27,0,3,0%,5.3
2026-04-28,0,0,,
2026-04-29,0,4,0%,19.2
2026-04-30,0,5,0%,8.6
2026-05-01,0,1,0%,9
2026-05-02,0,6,0%,8
2026-05-03,0,3,0%,15
2026-05-04,0,2,0%,28
2026-05-05,0,3,0%,15.7
2026-05-06,0,3,0%,8
