# ----------------------------------------
# Istantanea report
# Account: Codehelper
# Proprietà: Unlistened
# ----------------------------------------
#  
# Data di inizio: 20260410
# Data di fine: 20260507
Utenti attivi,Nuovi utenti,Durata media del coinvolgimento per utente attivo,Conteggio eventi
19,15,342.10526315789474,2013

#  
# Data di inizio: 20260410
# Data di fine: 20260507
Titolo pagina e classe schermata,Visualizzazioni,Utenti attivi,Conteggio eventi,Frequenza di rimbalzo
Free Podcasts & Music — No Tracking | Unlistened.me,260,10,325,0.027777777777777776
Free Creative Commons music on Unlistened.me,141,3,153,0
Unlistened.me: Podcasts & Free Music Streaming | Unlistened.me,132,11,179,0.5416666666666666
Sign In | Unlistened.me,88,5,123,0
Free Creative Commons Music — No Tracking | Unlistened.me,74,5,88,0.07692307692307693
"Free podcasts and music, no tracking, Unlistened.me",69,4,87,0
Music albums | Unlistened.me,69,3,71,0
| Unlistened.me,58,2,62,0
Trending Podcasts — Free Streaming | Unlistened.me,38,6,45,0
Your music playlists | Unlistened.me,38,4,40,0.14285714285714285
Music Favorites – Unlistened.me | Unlistened.me,37,1,48,0
Trending podcasts on Unlistened.me,31,3,33,0
Your Favourites | Unlistened.me,30,3,35,0.14285714285714285
Trending songs | Unlistened.me,24,2,25,0
Login | Unlistened.me,23,3,35,0.125
Trending Podcasts – Unlistened.me | Unlistened.me,23,3,30,0.2857142857142857
"CHARLES LECLERC | Nella testa del pilota, nel cuore dell'uomo! 🏎️ | Unlistened.me",22,1,23,0
Your Bookmarks | Unlistened.me,22,3,27,0
Music Playlists – Unlistened.me | Unlistened.me,21,2,21,0
Your favorite music | Unlistened.me,19,2,25,0.16666666666666666
"CHARLES LECLERC | Nella testa del pilota, nel cuore dell'uomo! 🏎️ — Passa dal BSMT | Unlistened.me",18,1,20,0
Explore Free Music – Unlistened.me | Unlistened.me,17,3,18,0
Fly Fierra - Man Of Steel The Ep | Album | Unlistened.me,17,1,21,0
Passa dal BSMT — Episodes | Unlistened.me,17,2,18,0
Browse Podcast Categories | Unlistened.me,15,2,15,0
Music Singles – Unlistened.me | Unlistened.me,15,1,15,0
Favourites – Unlistened.me | Unlistened.me,13,2,16,0
All In My Mind - Jazz Dream Pop | Album | Unlistened.me,12,2,16,0
Now Playing – Unlistened.me | Unlistened.me,12,2,13,0
La finanza amichevole — Episodes | Unlistened.me | Unlistened.me,11,2,12,0
Bookmarks – Unlistened.me | Unlistened.me,10,1,12,0
Browse podcast categories on Unlistened.me,9,1,9,0
Giornale Orario di RTL 102.5 — Episodes | Unlistened.me | Unlistened.me,9,1,9,0
Hormuz: il conto che arriva — La finanza amichevole | Unlistened.me | Unlistened.me,9,2,10,0
Now Playing | Unlistened.me,8,2,8,0
Unlistened.me | Unlistened.me,8,2,15,0.25
7 cose che ancora fai a mano nel 2026 (e non dovresti) — Marco Montemagno - Il Podcast | Unlistened.me | Unlistened.me,7,1,9,0.5
"""Stokastico"" — Podcast Search | Unlistened.me",6,1,6,0
"""bsmt"" — Podcast Search | Unlistened.me",6,2,6,0
"528 Hz healing, meditation, spa, joga, ambient music | Album | Unlistened.me",6,2,6,0
"About Unlistened.me, private listening for podcasts and music",6,1,6,0
Echoes | Album | Unlistened.me,6,1,6,0
Edizione delle 06 — Giornale Orario di RTL 102.5 | Unlistened.me | Unlistened.me,6,1,6,0
Keration PC | PodCast — Episodes | Unlistened.me,6,1,6,0
Kevin S. feat. Mathias Hagen - Reflections | Album | Unlistened.me,6,2,6,0
Marco Montemagno - Il Podcast — Episodes | Unlistened.me | Unlistened.me,6,1,6,0
Music album | Unlistened.me,6,3,13,0
Passa dal BSMT — Episodes | Unlistened.me | Unlistened.me,6,1,6,0
Pop &amp; Deep House | Album | Unlistened.me,6,2,6,0
RED LIGHT | Album | Unlistened.me,6,2,7,0
