Paese,Clic,Impressioni,CTR,Posizione
Australia,1,6,16.67%,8.67
Stati Uniti,0,232,0%,13.21
India,0,34,0%,9.65
Regno Unito,0,33,0%,15.7
Italia,0,18,0%,5.94
Francia,0,11,0%,4.27
Corea del Sud,0,8,0%,6.88
Russia,0,8,0%,7.12
Filippine,0,7,0%,9.29
Canada,0,7,0%,9.57
Spagna,0,6,0%,4
Indonesia,0,6,0%,8.67
Brasile,0,6,0%,12.83
Pakistan,0,6,0%,13.67
Argentina,0,5,0%,8.4
Germania,0,4,0%,6
Belgio,0,4,0%,6.5
Ucraina,0,3,0%,6
Cile,0,3,0%,6.67
Vietnam,0,3,0%,17.67
Svizzera,0,3,0%,24.33
Polonia,0,2,0%,5
Turchia,0,2,0%,7.5
Colombia,0,2,0%,8
Messico,0,2,0%,8
Paesi Bassi,0,2,0%,8
Giamaica,0,2,0%,8.5
Malaysia,0,2,0%,9
Ungheria,0,2,0%,11
Nigeria,0,2,0%,11.5
Algeria,0,2,0%,28
Emirati Arabi Uniti,0,1,0%,1
Angola,0,1,0%,4
Cina,0,1,0%,5
Israele,0,1,0%,5
Bulgaria,0,1,0%,6
Costa Rica,0,1,0%,6
Svezia,0,1,0%,6
Bolivia,0,1,0%,7
Irlanda,0,1,0%,8
Bangladesh,0,1,0%,9
Ecuador,0,1,0%,9
Egitto,0,1,0%,9
Ghana,0,1,0%,9
Hong Kong,0,1,0%,9
Finlandia,0,1,0%,10
Grecia,0,1,0%,10
Libano,0,1,0%,10
Sri Lanka,0,1,0%,10
Taiwan,0,1,0%,10
Uzbekistan,0,1,0%,10
Sudafrica,0,1,0%,11
Nepal,0,1,0%,12
Iran,0,1,0%,13
Palestina,0,1,0%,14
