Paese,Clic,Impressioni,CTR,Posizione
Australia,1,13,7.69%,9.15
Stati Uniti,0,267,0%,10.24
India,0,45,0%,9.62
Regno Unito,0,44,0%,11.64
Francia,0,15,0%,4.53
Italia,0,13,0%,6.08
Russia,0,9,0%,6.89
Canada,0,9,0%,9.56
Pakistan,0,9,0%,10.11
Corea del Sud,0,8,0%,6.88
Indonesia,0,7,0%,9
Filippine,0,7,0%,9.29
Spagna,0,6,0%,4.67
Germania,0,6,0%,6.83
Argentina,0,6,0%,7.33
Brasile,0,6,0%,7.83
Belgio,0,3,0%,8.33
Finlandia,0,3,0%,9.33
Nigeria,0,3,0%,11.33
Portogallo,0,2,0%,6.5
Turchia,0,2,0%,7.5
Vietnam,0,2,0%,7.5
Colombia,0,2,0%,8
Messico,0,2,0%,8
Paesi Bassi,0,2,0%,8.5
Ungheria,0,2,0%,11
Sudafrica,0,2,0%,11
Costa Rica,0,1,0%,6
Repubblica Ceca,0,1,0%,6
Polonia,0,1,0%,6
Portorico,0,1,0%,6
Svezia,0,1,0%,6
Ucraina,0,1,0%,6
Giamaica,0,1,0%,8
Bangladesh,0,1,0%,9
Egitto,0,1,0%,9
Ghana,0,1,0%,9
Hong Kong,0,1,0%,9
Trinidad e Tobago,0,1,0%,9
Grecia,0,1,0%,10
Irlanda,0,1,0%,10
Sri Lanka,0,1,0%,10
Singapore,0,1,0%,10
Taiwan,0,1,0%,10
Uzbekistan,0,1,0%,10
Giappone,0,1,0%,11
Malaysia,0,1,0%,11
Svizzera,0,1,0%,12
Estonia,0,1,0%,12
Nepal,0,1,0%,12
Palestina,0,1,0%,14
Arabia Saudita,0,1,0%,15
